id,name,kind,sheets,body
"blend","Эспрессо-смесь «Утро»","entity","product|suppliers|money","Рецепт для тестовой партии: 70 % Бразилии и 30 % Эфиопии. Один объект на трёх листах; изменение тела видно во всех его появлениях.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"recipe","Рецепт и версии","rule","product","Хранить номер версии, состав и дату дегустации. Замена зерна создаёт новую версию рецепта, а не переписывает историю.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"taste","Шоколад и орех","hypothesis","product","Пока это гипотеза о вкусе. Проверить слепой дегустацией; не превращать рекламную формулировку в установленный факт.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"pack","Пакет 250 г","entity","product","Вариант упаковки с клапаном. Удобство открытия и сохранность кофе нужно проверить на пробной партии.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"shelf","Срок годности","hypothesis","product|rules","Нельзя вывести из чужой этикетки. Нужны обоснование, условия хранения и применимые к рынку правила.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"launch","Первая тестовая партия","decision","product","Выпускать после дегустации и проверки упаковки. Критерий успеха — повторный заказ, а не только первая продажа.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"brazil","Зелёное зерно: Бразилия","entity","suppliers","Учебное предложение A: цена 600 условных единиц за килограмм. Цена вымышлена, не является рыночной котировкой.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"ethiopia","Зелёное зерно: Эфиопия","entity","suppliers","Учебное предложение B: 900 условных единиц за килограмм. Меняется отдельным источником — прайсом.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"quote","Прайс поставщика v1","note","suppliers","Источник: вымышленный прайс для демо.

| Зерно | Цена, у.е./кг |
|---|---|
| Бразилия | 600 |
| Эфиопия | 900 |

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"minimum","Минимальная партия","rule","suppliers","Условие тестового предложения: один мешок каждого сорта. Проверить условия поставщика до расчёта оборотных средств.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"backup","Резервный поставщик","risk","suppliers","Наличие похожего зерна не гарантирует тот же вкус. Смена поставщика требует пробной обжарки и проверки документов.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"delivery","Срок доставки","hypothesis","suppliers","Для планирования предполагаем две недели. Задержка расходует запас, а ускоренная доставка меняет себестоимость.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"cost","Себестоимость смеси","metric","money","Учебный расчёт: 0,7 × 600 + 0,3 × 900 = 690 у.е./кг зелёного зерна. Потери массы, упаковка, труд и доставка здесь ещё не включены.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"loss","Потеря массы","metric","money|roasting","Для расчёта принята гипотеза 15 %. Тогда зерно на килограмм готового кофе: 690 / 0,85 ≈ 812 у.е. Проверить взвешиванием.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"margin","Маржа после переменных затрат","metric","money|roasting","Цена минус зерно, упаковка, сдельный труд и доставка заказа. Это не прибыль бизнеса: аренда и оборудование считаются отдельно.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"cash","Деньги в запасах","risk","money","Минимальная партия может потребовать денег раньше, чем появится спрос. Сравнить сценарии продаж, срока поставки и срока хранения.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"price","Тестовая цена","hypothesis","money","Сначала проверить готовность покупателей повторять заказ. Число в модели — допущение, пока нет наблюдений.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"fixed","Постоянные расходы","metric","money","Отдельно учитывать аренду, обслуживание, оклад и амортизацию. Маржа одного пакета не отвечает на вопрос об окупаемости.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
"label","Макет этикетки","entity","rules","Учебный макет явно называет страны происхождения. Само подорожание зерна не меняет этикетку; смена состава или происхождения запускает проверку макета.

Источник: учебный сценарий Plyra; не проверенные сведения о реальном бизнесе."
