id,from,to,kind,label
"coffee-edge-0","blend","recipe","depends",""
"coffee-edge-1","blend","brazil","depends",""
"coffee-edge-2","blend","ethiopia","depends",""
"coffee-edge-3","blend","cost","ref",""
"coffee-edge-4","recipe","taste","ref",""
"coffee-edge-5","pack","shelf","depends",""
"coffee-edge-6","launch","cup","depends",""
"coffee-edge-7","launch","pack","depends",""
"coffee-edge-8","brazil","quote","ref",""
"coffee-edge-9","ethiopia","quote","ref",""
"coffee-edge-10","minimum","cash","ref",""
"coffee-edge-11","backup","recipe","depends",""
"coffee-edge-12","delivery","cash","ref",""
"coffee-edge-13","cost","loss","depends",""
"coffee-edge-14","margin","cost","depends",""
"coffee-edge-15","margin","price","depends",""
"coffee-edge-16","fixed","roaster","depends",""
"coffee-edge-17","price","feedback","depends",""
"coffee-edge-18","label","recipe","depends",""
"coffee-edge-19","label","market","depends",""
"coffee-edge-20","label","claim","depends",""
"coffee-edge-21","claim","taste","ref",""
"coffee-edge-22","trace","log","depends",""
"coffee-edge-23","documents","brazil","ref",""
"coffee-edge-24","food","ventilation","depends",""
"coffee-edge-25","roaster","ventilation","depends",""
"coffee-edge-26","roaster","power","depends",""
"coffee-edge-27","roaster","service","depends",""
"coffee-edge-28","scales","loss","supports",""
"coffee-edge-29","sealer","pack","depends",""
"coffee-edge-30","roaster_role","roast","ref",""
"coffee-edge-31","sales_role","feedback","ref",""
"coffee-edge-32","label_role","label","ref",""
"coffee-edge-33","training","roaster_role","ref",""
"coffee-edge-34","backup_role","training","depends",""
"coffee-edge-35","weigh","roast","flow",""
"coffee-edge-36","roast","cool","flow",""
"coffee-edge-37","cool","cup","flow",""
"coffee-edge-38","cup","seal","flow",""
"coffee-edge-39","seal","log","flow",""
"coffee-edge-40","weigh","scales","depends",""
"coffee-edge-41","seal","label","depends",""
"coffee-edge-42","log","recipe","ref",""
